SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Total_Return_%,Trades
False,False,False,True,False,False,True,20,80,18.615829486658654,2.5
False,False,True,False,False,True,False,30,70,14.268443987587553,1.0
True,False,False,False,False,False,False,20,80,12.82820182512907,6.0
False,False,True,False,False,True,False,40,60,12.238882161205233,2.0
False,True,False,False,False,False,True,30,70,12.002495975859517,10.5
True,False,False,True,False,False,False,20,80,10.01154196218128,2.0
True,False,True,False,False,True,False,40,60,9.65211139833273,1.0
True,False,False,False,False,False,True,30,70,9.21436226208494,3.0
True,True,True,False,False,True,False,40,60,9.049423641731625,0.5
False,True,True,False,False,True,False,40,60,9.049423641731625,1.0
True,False,True,True,False,False,True,30,70,8.778333977701402,1.0
True,False,True,True,False,False,True,40,60,8.778333977701402,1.0
False,False,True,True,False,False,True,30,70,8.778333977701402,1.0
False,False,True,True,False,False,True,40,60,8.778333977701402,1.0
True,False,False,True,False,False,True,40,60,8.765288688180428,1.0
True,False,False,True,False,False,True,30,70,8.765288688180428,1.0
False,False,False,True,False,False,False,30,70,7.603363712690814,12.0
False,True,False,True,False,False,False,20,80,6.512090161551143,1.0
False,True,False,True,False,False,True,20,80,6.512090161551143,0.5
True,False,False,True,False,False,False,40,60,6.434625354628465,3.0
False,False,False,True,False,False,False,40,60,6.395983640646685,15.0
True,True,False,False,False,True,False,40,60,6.268640062437103,1.5
True,False,False,False,False,True,False,40,60,5.225313013075095,2.5
True,True,False,False,False,False,True,30,70,5.01923288107935,2.0
False,False,False,True,False,False,True,30,70,5.017013098353429,4.5
False,True,False,True,False,False,False,40,60,4.885335986606343,7.0
True,False,True,True,False,False,False,20,80,4.839525683390811,2.0
False,False,True,True,False,False,False,20,80,4.839525683390811,2.0
False,False,True,False,False,False,True,30,70,4.5433175489637545,2.0
True,False,True,False,False,False,True,30,70,4.5433175489637545,1.5
False,False,True,False,False,False,True,40,60,4.471034143003871,2.5
True,False,True,False,False,False,True,40,60,4.471034143003871,2.5
True,False,False,True,True,False,False,40,60,4.393496984358225,2.0
False,True,False,True,False,True,True,30,70,4.210866795555579,2.0
False,False,False,True,False,True,True,30,70,4.210866795555579,2.0
False,False,False,True,False,False,False,20,80,3.9584055771884064,7.0
True,False,False,True,False,False,False,30,70,3.866199323589603,3.0
True,False,True,True,False,False,False,40,60,3.8224576654821707,2.0
False,False,True,True,False,False,False,40,60,3.8224576654821707,2.0
False,False,True,True,False,False,False,30,70,2.8734269047991257,2.0
True,False,True,True,False,False,False,30,70,2.8734269047991257,2.0
True,False,True,False,False,False,False,20,80,2.271405335420207,2.0
False,False,True,False,False,False,False,20,80,2.271405335420207,2.0
True,False,False,False,False,False,True,40,60,0.9298941692730711,5.0
True,True,False,True,False,False,False,20,80,0.6318472205918191,1.0
False,True,True,False,False,False,True,30,70,0.41128262640455215,2.0
True,True,True,False,False,False,True,30,70,0.41128262640455215,1.5
True,True,False,True,False,True,False,20,80,0.0,0.0
False,False,False,True,True,True,True,20,80,0.0,0.0
True,True,False,True,True,False,True,40,60,0.0,0.0
True,True,False,True,False,True,True,20,80,0.0,0.0
True,True,False,True,False,True,True,30,70,0.0,0.0
True,True,False,True,False,True,True,40,60,0.0,0.0
True,True,True,False,False,True,True,20,80,0.0,0.0
True,True,False,True,True,True,True,20,80,0.0,0.0
True,True,False,True,True,True,False,40,60,0.0,0.0
True,True,False,True,True,False,True,30,70,0.0,0.0
True,True,False,False,True,True,True,20,80,0.0,0.0
True,True,False,False,True,True,True,30,70,0.0,0.0
True,True,False,False,True,True,True,40,60,0.0,0.0
True,True,False,False,True,True,False,20,80,0.0,0.0
True,True,False,False,True,True,False,40,60,0.0,0.0
True,True,False,False,True,True,False,30,70,0.0,0.0
True,True,False,False,True,False,True,20,80,0.0,0.0
True,True,False,True,False,False,True,40,60,0.0,0.0
True,True,False,True,False,True,False,30,70,0.0,0.0
True,True,False,True,False,False,True,30,70,0.0,0.0
True,True,False,True,False,False,True,20,80,0.0,0.0
True,True,False,True,True,False,True,20,80,0.0,0.0
True,True,False,True,True,True,False,20,80,0.0,0.0
True,True,False,True,True,True,True,40,60,0.0,0.0
True,True,False,True,True,True,True,30,70,0.0,0.0
True,True,False,True,True,True,False,30,70,0.0,0.0
False,False,True,False,False,True,True,30,70,0.0,0.0
False,False,True,False,False,True,True,20,80,0.0,0.0
False,False,True,False,False,True,False,20,80,0.0,0.0
False,False,True,False,False,True,True,40,60,0.0,0.0
True,True,False,True,False,True,False,40,60,0.0,0.0
True,True,False,False,False,True,True,40,60,0.0,0.0
False,False,False,True,True,True,True,30,70,0.0,0.0
False,False,False,True,True,True,True,40,60,0.0,0.0
False,False,False,True,True,True,False,20,80,0.0,0.0
False,False,False,True,True,False,True,20,80,0.0,0.0
False,False,False,True,True,False,True,30,70,0.0,0.0
False,False,False,True,True,False,True,40,60,0.0,0.0
False,False,False,False,True,True,True,30,70,0.0,0.0
False,False,False,False,True,True,True,40,60,0.0,0.0
False,False,False,False,True,True,True,20,80,0.0,0.0
True,True,True,False,True,True,False,20,80,0.0,0.0
True,True,True,False,False,True,False,20,80,0.0,0.0
True,True,True,False,False,True,True,40,60,0.0,0.0
True,True,True,False,False,True,True,30,70,0.0,0.0
True,True,True,False,True,False,True,20,80,0.0,0.0
True,True,True,False,True,True,True,40,60,0.0,0.0
True,True,True,False,True,True,True,30,70,0.0,0.0
True,True,True,False,True,True,False,30,70,0.0,0.0
True,True,True,False,True,True,False,40,60,0.0,0.0
True,True,True,True,False,False,True,40,60,0.0,0.0
True,True,True,False,True,True,True,20,80,0.0,0.0
True,True,True,True,False,False,True,30,70,0.0,0.0
True,True,True,True,False,False,True,20,80,0.0,0.0
True,True,True,True,False,True,False,30,70,0.0,0.0
True,True,True,True,False,True,False,40,60,0.0,0.0
True,True,True,False,False,True,False,30,70,0.0,0.0
False,False,False,False,True,True,False,20,80,0.0,0.0
True,False,True,False,True,True,False,30,70,0.0,0.0
True,False,True,False,True,True,False,40,60,0.0,0.0
True,False,True,False,True,False,True,20,80,0.0,0.0
True,False,True,True,True,True,True,20,80,0.0,0.0
True,False,True,True,True,True,True,30,70,0.0,0.0
True,False,True,True,True,True,True,40,60,0.0,0.0
True,False,True,True,True,True,False,20,80,0.0,0.0
True,False,True,True,True,True,False,30,70,0.0,0.0
True,False,True,True,True,True,False,40,60,0.0,0.0
True,False,True,True,True,False,True,20,80,0.0,0.0
True,False,True,True,True,False,True,30,70,0.0,0.0
True,False,True,True,True,False,True,40,60,0.0,0.0
True,False,True,True,False,True,True,20,80,0.0,0.0
True,False,True,True,False,True,True,30,70,0.0,0.0
True,False,True,True,False,True,True,40,60,0.0,0.0
True,False,True,True,False,True,False,20,80,0.0,0.0
False,False,True,True,False,True,False,30,70,0.0,0.0
False,False,True,True,False,True,False,40,60,0.0,0.0
False,False,True,False,True,True,True,20,80,0.0,0.0
False,False,True,False,True,True,False,40,60,0.0,0.0
False,False,True,False,True,True,False,30,70,0.0,0.0
False,False,True,False,True,True,False,20,80,0.0,0.0
False,False,True,False,True,True,True,40,60,0.0,0.0
False,False,True,False,True,True,True,30,70,0.0,0.0
True,True,False,False,False,True,True,30,70,0.0,0.0
True,True,False,False,False,True,True,20,80,0.0,0.0
True,False,True,False,False,True,True,30,70,0.0,0.0
True,False,True,False,False,True,True,40,60,0.0,0.0
False,False,True,True,False,True,False,20,80,0.0,0.0
False,False,True,True,False,True,True,40,60,0.0,0.0
False,False,True,True,False,True,True,30,70,0.0,0.0
True,False,True,False,False,True,True,20,80,0.0,0.0
False,False,True,True,True,True,True,30,70,0.0,0.0
False,False,True,True,True,True,True,40,60,0.0,0.0
False,False,True,True,True,True,False,20,80,0.0,0.0
False,False,True,True,True,True,False,30,70,0.0,0.0
False,False,True,True,True,True,False,40,60,0.0,0.0
False,False,True,True,True,False,True,20,80,0.0,0.0
False,False,True,True,True,False,True,30,70,0.0,0.0
False,False,True,True,True,False,True,40,60,0.0,0.0
False,False,True,True,False,True,True,20,80,0.0,0.0
False,False,True,True,True,True,True,20,80,0.0,0.0
True,False,False,True,False,True,True,40,60,0.0,0.0
True,False,False,True,False,True,False,20,80,0.0,0.0
